Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Filemark
2025.04.02_18.30.36,77.8954,29.863968,JIO4G,4G,-88,4,225,
2025.04.02_18.30.47,77.895461,29.864046,JIO4G,4G,-83,4,224,
2025.04.02_18.30.54,77.895578,29.864066,JIO4G,4G,-82,4,224,
2025.04.02_18.31.00,77.895683,29.864075,JIO4G,4G,-83,4,224,
2025.04.02_18.31.09,77.895794,29.864085,JIO4G,4G,-80,3,222,
2025.04.02_18.31.18,77.895905,29.864083,JIO4G,4G,-82,3,223,
2025.04.02_18.31.24,77.896011,29.864088,JIO4G,4G,-82,3,226,
2025.04.02_18.31.32,77.896123,29.8641,JIO4G,4G,-81,4,227,
2025.04.02_18.31.43,77.896238,29.864086,JIO4G,4G,-84,3,231,
2025.04.02_18.31.53,77.896356,29.864095,JIO4G,4G,-84,3,228,
2025.04.02_18.32.02,77.8965,29.864091,JIO4G,4G,-82,3,225,
2025.04.02_18.32.09,77.896608,29.864083,JIO4G,4G,-81,3,226,
2025.04.02_18.32.17,77.89672,29.86406,JIO4G,4G,-82,4,222,
2025.04.02_18.32.30,77.896833,29.864048,JIO4G,4G,-83,4,220,
2025.04.02_18.32.38,77.896911,29.863981,JIO4G,4G,-82,3,219,
2025.04.02_18.32.45,77.89692,29.863886,JIO4G,4G,-79,4,221,
2025.04.02_18.32.52,77.89692,29.863886,JIO4G,4G,-78,4,221,
2025.04.02_18.32.54,77.896923,29.863785,JIO4G,4G,-80,4,221,
2025.04.02_18.32.56,77.896923,29.863785,JIO4G,4G,-84,4,221,
2025.04.02_18.32.58,77.896923,29.863785,JIO4G,4G,-82,4,221,
2025.04.02_18.33.02,77.896925,29.86368,JIO4G,4G,-82,3,222,
2025.04.02_18.33.06,77.896925,29.86368,JIO4G,4G,-81,3,222,
2025.04.02_18.33.08,77.896951,29.863584,JIO4G,4G,-82,3,219,
2025.04.02_18.33.15,77.896935,29.863494,JIO4G,4G,-81,4,219,
2025.04.02_18.33.23,77.896926,29.863401,JIO4G,4G,-79,3,222,
2025.04.02_18.33.32,77.896915,29.863308,JIO4G,4G,-81,3,227,
2025.04.02_18.33.39,77.896883,29.863221,JIO4G,4G,-82,4,226,
